Sun Jan 04 12:22:15 2015    profile_out1.txt

         1868107 function calls (1860775 primitive calls) in 20.882 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   155/94    0.005    0.000    0.631    0.007 socket.py:336(read)
3294/2320    0.022    0.000    0.617    0.000 html5parser.py:467(processStartTag)
     3670    0.020    0.000    0.562    0.000 re.py:229(_compile)
      173    0.003    0.000    0.531    0.003 sre_compile.py:495(compile)
      195    0.001    0.000    0.516    0.003 re.py:188(compile)
     2312    0.035    0.000    0.509    0.000 _base.py:286(insertElementNormal)
       42    0.000    0.000    0.473    0.011 socket.py:223(meth)
       12    0.471    0.039    0.471    0.039 {method 'connect' of '_socket.socket' objects}
    10316    0.152    0.000    0.449    0.000 __init__.py:351(handle_endtag)
    24492    0.223    0.000    0.449    0.000 __init__.py:290(object_was_parsed)
       49    0.000    0.000    0.421    0.009 models.py:623(generate)
       49    0.000    0.000    0.420    0.009 response.py:223(stream)
       43    0.002    0.000    0.420    0.010 response.py:145(read)
  486/410    0.004    0.000    0.416    0.001 {method 'join' of 'str' objects}
       11    0.000    0.000    0.410    0.037 models.py:680(content)
     7322    0.116    0.000    0.407    0.000 element.py:1551(_matches)
     1368    0.067    0.000    0.401    0.000 HTMLParser.py:227(parse_starttag)
        1    0.008    0.008    0.393    0.393 __init__.py:42(<module>)
        2    0.000    0.000    0.393    0.197 connection.py:105(connect)
        2    0.000    0.000    0.393    0.196 connection.py:80(_new_conn)
        2    0.006    0.003    0.370    0.185 __init__.py:17(<module>)
    10329    0.185    0.000    0.357    0.000 __init__.py:145(_replace_cdata_list_attribute_values)
     3312    0.052    0.000    0.356    0.000 element.py:1484(search_tag)
    22213    0.128    0.000    0.340    0.000 element.py:648(__new__)
     1174    0.015    0.000    0.331    0.000 html5parser.py:2082(startTagTableCell)
        2    0.000    0.000    0.320    0.160 _opener.py:417(urlopen)
        2    0.001    0.000    0.319    0.160 _opener.py:170(open)
        2    0.000    0.000    0.294    0.147 _urllib2_fork.py:336(_open)
        4    0.000    0.000    0.294    0.073 _urllib2_fork.py:324(_call_chain)
        2    0.000    0.000    0.294    0.147 _urllib2_fork.py:1141(http_open)
        2    0.000    0.000    0.294    0.147 _urllib2_fork.py:1069(do_open)
        2    0.014    0.007    0.289    0.145 myutils.py:109(get_dates_count_map)
        1    0.000    0.000    0.287    0.287 BeautifulSoup.py:1518(__init__)
        1    0.000    0.000    0.287    0.287 BeautifulSoup.py:1083(__init__)
        1    0.000    0.000    0.286    0.286 BeautifulSoup.py:1162(_feed)
     4528    0.072    0.000    0.279    0.000 _html5lib.py:125(appendChild)
        1    0.000    0.000    0.275    0.275 sgmllib.py:95(feed)
        1    0.015    0.015    0.275    0.275 sgmllib.py:116(goahead)
  174/173    0.003    0.000    0.274    0.002 sre_parse.py:663(parse)
    13735    0.148    0.000    0.273    0.000 element.py:1448(_normalize_search_value)
     1688    0.028    0.000    0.272    0.000 {built-in method strptime}
   124783    0.269    0.000    0.269    0.000 {method 'append' of 'list' objects}
  548/174    0.010    0.000    0.267    0.002 sre_parse.py:301(_parse_sub)
     3206    0.039    0.000    0.266    0.000 element.py:1421(__init__)
        1    0.001    0.001    0.265    0.265 bcpao.py:38(get_acct_by_legal)
  711/195    0.069    0.000    0.263    0.001 sre_parse.py:379(_parse)
      173    0.002    0.000    0.252    0.001 sre_compile.py:480(_code)
    10316    0.122    0.000    0.246    0.000 __init__.py:301(_popToTag)
     1688    0.078    0.000    0.240    0.000 _strptime.py:295(_strptime)
      971    0.004    0.000    0.235    0.000 html5parser.py:2172(startTagOther)
     1368    0.026    0.000    0.234    0.000 _htmlparser.py:46(handle_starttag)
     4628    0.141    0.000    0.229    0.000 _html5lib.py:174(setAttributes)
       24    0.000    0.000    0.227    0.009 httplib.py:560(_read_chunked)
    85019    0.205    0.000    0.223    0.000 element.py:1190(descendants)
    39531    0.219    0.000    0.219    0.000 element.py:188(setup)
        3    0.000    0.000    0.218    0.073 models.py:704(text)
        1    0.017    0.017    0.206    0.206 utils.py:10(<module>)
     8708    0.106    0.000    0.206    0.000 inputstream.py:309(charsUntil)
    10790    0.119    0.000    0.202    0.000 abc.py:128(__instancecheck__)
     2215    0.017    0.000    0.200    0.000 _base.py:312(insertText)
      132    0.002    0.000    0.197    0.001 __init__.py:1231(_log)
119206/118378    0.193    0.000    0.195    0.000 {len}
      125    0.002    0.000    0.193    0.002 __init__.py:1122(info)
      551    0.025    0.000    0.193    0.000 sgmllib.py:238(parse_starttag)
 1410/173    0.048    0.000    0.191    0.001 sre_compile.py:32(_compile)
      837    0.008    0.000    0.187    0.000 html5parser.py:1100(startTagFormatting)
      906    0.014    0.000    0.184    0.000 html5parser.py:946(addFormattingElement)
     6454    0.070    0.000    0.183    0.000 tokenizer.py:882(attributeNameState)
