Sun Jan 04 12:22:15 2015    profile_out1.txt

         1868107 function calls (1860775 primitive calls) in 20.882 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      395    0.003    0.000    0.003    0.000 {method 'write' of 'cStringIO.StringO' objects}
        1    0.000    0.000    0.003    0.003 scanner.py:2(<module>)
        1    0.003    0.003    0.003    0.003 _http.py:13(<module>)
      714    0.002    0.000    0.003    0.000 ExcelFormulaLexer.py:82(isEOF)
        6    0.000    0.000    0.003    0.001 sgmllib.py:380(handle_starttag)
     1429    0.003    0.000    0.003    0.000 sre_parse.py:90(__init__)
        6    0.000    0.000    0.003    0.001 BeautifulSoup.py:1576(start_meta)
     1316    0.003    0.000    0.003    0.000 html5parser.py:2063(clearStackToTableRowContext)
        1    0.002    0.002    0.003    0.003 main.py:1(<module>)
        2    0.000    0.000    0.003    0.002 _clientcookie.py:1415(_make_cookies)
       87    0.000    0.000    0.003    0.000 {method 'encode' of 'str' objects}
        8    0.001    0.000    0.003    0.000 Worksheet.py:1267(__print_settings_rec)
        1    0.003    0.003    0.003    0.003 heapq.py:31(<module>)
     1558    0.003    0.000    0.003    0.000 {_struct.pack}
        1    0.003    0.003    0.003    0.003 mimetools.py:1(<module>)
        2    0.000    0.000    0.003    0.001 util.py:49(find_library)
     1805    0.003    0.000    0.003    0.000 {method 'strip' of 'unicode' objects}
        1    0.000    0.000    0.003    0.003 BeautifulSoup.py:1039(BeautifulStoneSoup)
        1    0.003    0.003    0.003    0.003 result.py:1(<module>)
      151    0.002    0.000    0.003    0.000 ntpath.py:164(split)
        1    0.003    0.003    0.003    0.003 mimetypes.py:24(<module>)
       70    0.000    0.000    0.003    0.000 _sgmllib_copy.py:386(handle_starttag)
        1    0.000    0.000    0.003    0.003 _urllib2_fork.py:774(AbstractBasicAuthHandler)
     1688    0.003    0.000    0.003    0.000 {method 'iterkeys' of 'dict' objects}
      299    0.001    0.000    0.003    0.000 inputstream.py:573(next)
        1    0.000    0.000    0.003    0.003 urllib2.py:804(AbstractBasicAuthHandler)
      248    0.001    0.000    0.003    0.000 ntpath.py:42(normcase)
        1    0.003    0.003    0.003    0.003 connection.py:1(<module>)
      176    0.001    0.000    0.003    0.000 sre_parse.py:178(__init__)
      357    0.002    0.000    0.003    0.000 antlr.py:709(append)
        1    0.003    0.003    0.003    0.003 stringprep.py:6(<module>)
        1    0.000    0.000    0.003    0.003 _form.py:2974(click)
        1    0.003    0.003    0.003    0.003 netrc.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _form.py:3188(_click)
        9    0.001    0.000    0.003    0.000 xl_builder.py:45(get_headers)
        1    0.000    0.000    0.003    0.003 argparse.py:1533(__init__)
     1436    0.003    0.000    0.003    0.000 {any}
       66    0.001    0.000    0.003    0.000 Queue.py:107(put)
        1    0.000    0.000    0.003    0.003 zipfile.py:403(_ZipDecrypter)
        1    0.000    0.000    0.003    0.003 sgmllib.py:60(SGMLParser)
        1    0.002    0.002    0.003    0.003 xmlreader.py:2(<module>)
        1    0.002    0.002    0.003    0.003 zipfile.py:416(_GenerateCRCTable)
        1    0.000    0.000    0.003    0.003 BeautifulSoup.py:1470(BeautifulSoup)
      257    0.002    0.000    0.003    0.000 Cookie.py:308(<genexpr>)
        1    0.000    0.000    0.003    0.003 _form.py:2348(_click)
      485    0.002    0.000    0.003    0.000 urllib.py:1169(<genexpr>)
        1    0.000    0.000    0.003    0.003 _form.py:3261(_switch_click)
       34    0.000    0.000    0.003    0.000 element.py:205(replace_with)
       12    0.000    0.000    0.003    0.000 adapters.py:73(__init__)
        1    0.002    0.002    0.003    0.003 hmac.py:4(<module>)
      485    0.002    0.000    0.002    0.000 urlparse.py:315(<genexpr>)
      913    0.002    0.000    0.002    0.000 {method 'index' of 'list' objects}
       14    0.001    0.000    0.002    0.000 urllib.py:1311(getproxies_environment)
        1    0.000    0.000    0.002    0.002 _form.py:3225(_request_data)
        8    0.000    0.000    0.002    0.000 _clientcookie.py:175(eff_request_host_lc)
      180    0.001    0.000    0.002    0.000 Workbook.py:319(add_style)
     1161    0.002    0.000    0.002    0.000 HTMLParser.py:126(clear_cdata_mode)
      680    0.002    0.000    0.002    0.000 {thread.get_ident}
        4    0.000    0.000    0.002    0.001 connectionpool.py:599(__init__)
        1    0.002    0.002    0.002    0.002 cookies.py:7(<module>)
       81    0.001    0.000    0.002    0.000 urlparse.py:128(urlparse)
        1    0.001    0.001    0.002    0.002 response.py:8(<module>)
       12    0.000    0.000    0.002    0.000 adapters.py:104(init_poolmanager)
      132    0.001    0.000    0.002    0.000 __init__.py:823(flush)
        1    0.000    0.000    0.002    0.002 quoprimime.py:27(<module>)
      346    0.002    0.000    0.002    0.000 sre_compile.py:474(isstring)
        2    0.000    0.000    0.002    0.001 _urllib2_fork.py:1040(do_request_)
       11    0.000    0.000    0.002    0.000 element.py:937(__getattr__)
      119    0.001    0.000    0.002    0.000 UnicodeUtils.py:105(upack1)
       12    0.000    0.000    0.002    0.000 poolmanager.py:65(__init__)
        8    0.000    0.000    0.002    0.000 Worksheet.py:1145(__colinfo_rec)
     1138    0.002    0.000    0.002    0.000 BeautifulSoup.py:878(recursiveChildGenerator)
       76    0.002    0.000    0.002    0.000 {sorted}
        8    0.000    0.000    0.002    0.000 _clientcookie.py:168(eff_request_host)
        6    0.000    0.000    0.002    0.000 utils.py:469(should_bypass_proxies)
        1    0.000    0.000    0.002    0.002 zipfile.py:462(ZipExtFile)
        8    0.000    0.000    0.002    0.000 cookielib.py:911(set_ok)
       64    0.000    0.000    0.002    0.000 Worksheet.py:1069(col)
       36    0.000    0.000    0.002    0.000 genericpath.py:26(isfile)
        1    0.000    0.000    0.002    0.002 numbers.py:6(<module>)
       99    0.001    0.000    0.002    0.000 _weakrefset.py:58(__iter__)
     1072    0.002    0.000    0.002    0.000 {method 'find' of 'str' objects}
        1    0.000    0.000    0.002    0.002 _sgmllib_copy.py:2(<module>)
      152    0.001    0.000    0.002    0.000 __init__.py:1324(isEnabledFor)
       18    0.000    0.000    0.002    0.000 httplib.py:508(close)
      131    0.001    0.000    0.002    0.000 _collections.py:187(__getitem__)
       64    0.001    0.000    0.002    0.000 Column.py:39(get_biff_record)
       91    0.002    0.000    0.002    0.000 {method 'sort' of 'list' objects}
       28    0.000    0.000    0.002    0.000 rfc822.py:295(getheaders)
        3    0.000    0.000    0.002    0.001 argparse.py:1167(__init__)
       91    0.001    0.000    0.002    0.000 urllib.py:1201(quote)
      142    0.001    0.000    0.002    0.000 html5parser.py:1978(processSpaceCharacters)
       20    0.001    0.000    0.002    0.000 socket.py:185(__init__)
        2    0.002    0.001    0.002    0.001 {built-in method decompress}
      132    0.001    0.000    0.002    0.000 threading.py:804(currentThread)
        8    0.000    0.000    0.002    0.000 urllib.py:1473(getproxies)
        1    0.002    0.002    0.002    0.002 __init__.py:5(<module>)
        6    0.000    0.000    0.002    0.000 markupbase.py:65(parse_declaration)
        2    0.000    0.000    0.002    0.001 _headersutil.py:182(parse_ns_headers)
        2    0.000    0.000    0.002    0.001 _clientcookie.py:1584(clear_expired_cookies)
        7    0.000    0.000    0.002    0.000 urllib.py:1247(urlencode)
       12    0.000    0.000    0.002    0.000 _collections.py:48(__init__)
        1    0.001    0.001    0.002    0.002 io.py:34(<module>)
       51    0.000    0.000    0.002    0.000 _form.py:126(replace_entities)
      226    0.001    0.000    0.002    0.000 utils.py:55(surrogatePairToCodepoint)
      299    0.001    0.000    0.002    0.000 sre_parse.py:72(opengroup)
        1    0.000    0.000    0.002    0.002 Workbook.py:532(__all_fonts_num_formats_xf_styles_rec)
        1    0.000    0.000    0.002    0.002 Style.py:180(get_biff_data)
      438    0.001    0.000    0.002    0.000 collections.py:248(<genexpr>)
      180    0.001    0.000    0.002    0.000 Row.py:63(__adjust_height)
       36    0.001    0.000    0.002    0.000 _form.py:1651(__init__)
       48    0.000    0.000    0.002    0.000 Cell.py:165(get_biff_data)
       18    0.000    0.000    0.002    0.000 __init__.py:1531(getLogger)
       32    0.001    0.000    0.002    0.000 socket.py:276(close)
      895    0.002    0.000    0.002    0.000 {method 'rindex' of 'unicode' objects}
      309    0.001    0.000    0.002    0.000 antlr.py:718(removeFirst)
       13    0.000    0.000    0.002    0.000 abc.py:105(register)
        1    0.000    0.000    0.002    0.002 url.py:1(<module>)
       43    0.000    0.000    0.002    0.000 re.py:164(split)
      180    0.001    0.000    0.002    0.000 Style.py:87(add)
        6    0.000    0.000    0.002    0.000 urllib.py:1534(proxy_bypass)
      622    0.002    0.000    0.002    0.000 {setattr}
       64    0.001    0.000    0.002    0.000 Column.py:6(__init__)
        1    0.001    0.001    0.002    0.002 antlr.py:44(<module>)
       27    0.001    0.000    0.002    0.000 _form.py:1190(__init__)
       10    0.000    0.000    0.002    0.000 ssl.py:198(sendall)
      142    0.001    0.000    0.002    0.000 html5parser.py:2069(ignoreEndTagTr)
      299    0.001    0.000    0.002    0.000 sre_parse.py:83(closegroup)
        1    0.000    0.000    0.002    0.002 urllib2.py:442(build_opener)
      587    0.002    0.000    0.002    0.000 BeautifulSoup.py:466(__getattr__)
       18    0.000    0.000    0.002    0.000 __init__.py:994(getLogger)
       18    0.000    0.000    0.002    0.000 cookies.py:415(cookiejar_from_dict)
       14    0.000    0.000    0.002    0.000 argparse.py:1248(add_argument)
       28    0.001    0.000    0.002    0.000 rfc822.py:228(getallmatchingheaders)
       10    0.002    0.000    0.002    0.000 inputstream.py:286(characterErrorsUCS2)
        1    0.001    0.001    0.002    0.002 Style.py:3(<module>)
        4    0.000    0.000    0.002    0.000 urllib2.py:189(__init__)
      309    0.001    0.000    0.002    0.000 ExcelFormulaLexer.py:91(is_whitespace)
        4    0.000    0.000    0.002    0.000 _strptime.py:240(pattern)
      141    0.002    0.000    0.002    0.000 {time.strftime}
        3    0.000    0.000    0.002    0.001 _clientcookie.py:912(return_ok_domain)
       79    0.001    0.000    0.002    0.000 _abcoll.py:340(get)
        1    0.000    0.000    0.002    0.002 element.py:58(ContentMetaAttributeValue)
        8    0.001    0.000    0.002    0.000 _clientcookie.py:151(request_host)
      309    0.001    0.000    0.002    0.000 antlr.py:2062(consume)
       10    0.000    0.000    0.002    0.000 ssl.py:168(send)
        1    0.000    0.000    0.002    0.002 _clientcookie.py:1008(CookieJar)
        1    0.001    0.001    0.002    0.002 structures.py:9(<module>)
        6    0.000    0.000    0.002    0.000 models.py:483(prepare_cookies)
        1    0.001    0.001    0.002    0.002 exceptions.py:9(<module>)
       58    0.000    0.000    0.002    0.000 urllib.py:1240(quote_plus)
        4    0.000    0.000    0.002    0.000 _urllib2_fork.py:202(get_host)
       22    0.000    0.000    0.002    0.000 _form.py:1267(__init__)
       15    0.000    0.000    0.002    0.000 html5parser.py:464(processSpaceCharacters)
       10    0.002    0.000    0.002    0.000 {built-in method write}
      192    0.001    0.000    0.002    0.000 _html5lib.py:171(getAttributes)
       12    0.000    0.000    0.002    0.000 collections.py:58(__init__)
      879    0.002    0.000    0.002    0.000 xl3.py:33(get_display)
        6    0.000    0.000    0.002    0.000 cookies.py:131(get_cookie_header)
       34    0.001    0.000    0.002    0.000 element.py:272(insert)
      790    0.001    0.000    0.001    0.000 {method 'upper' of 'str' objects}
        1    0.001    0.001    0.001    0.001 api.py:12(<module>)
        1    0.001    0.001    0.001    0.001 ordered_dict.py:6(<module>)
        8    0.000    0.000    0.001    0.000 cookielib.py:1534(_cookies_from_attrs_set)
      299    0.001    0.000    0.001    0.000 inputstream.py:565(__next__)
        8    0.000    0.000    0.001    0.000 _htmlparser.py:138(prepare_markup)
        4    0.000    0.000    0.001    0.000 _implementation.py:67(match_hostname)
        1    0.001    0.001    0.001    0.001 runner.py:1(<module>)
       34    0.001    0.000    0.001    0.000 utils.py:28(__init__)
        5    0.000    0.000    0.001    0.000 _clientcookie.py:981(next)
       61    0.001    0.000    0.001    0.000 abc.py:89(<genexpr>)
        1    0.000    0.000    0.001    0.001 CompoundDoc.py:249(save)
        4    0.000    0.000    0.001    0.000 _implementation.py:14(_dnsname_match)
        6    0.000    0.000    0.001    0.000 models.py:390(prepare_headers)
        1    0.000    0.000    0.001    0.001 _strptime.py:50(__init__)
        4    0.000    0.000    0.001    0.000 dammit.py:333(__init__)
        1    0.001    0.001    0.001    0.001 auth.py:8(<module>)
      352    0.001    0.000    0.001    0.000 {built-in method groups}
        1    0.001    0.001    0.001    0.001 xl3.py:1(<module>)
      706    0.001    0.000    0.001    0.000 py.py:19(__contains__)
       40    0.000    0.000    0.001    0.000 utils.py:144(to_key_val_list)
        2    0.000    0.000    0.001    0.001 _urllib2_fork.py:81(splithost)
      132    0.001    0.000    0.001    0.000 __init__.py:153(getLevelName)
        2    0.000    0.000    0.001    0.001 re.py:134(match)
        4    0.000    0.000    0.001    0.000 cookielib.py:444(parse_ns_headers)
      559    0.001    0.000    0.001    0.000 {max}
        1    0.000    0.000    0.001    0.001 Style.py:211(_all_cell_styles)
       14    0.000    0.000    0.001    0.000 dammit.py:232(encodings)
        1    0.000    0.000    0.001    0.001 warnings.py:45(filterwarnings)
       29    0.000    0.000    0.001    0.000 _form.py:1025(__init__)
        9    0.001    0.000    0.001    0.000 urllib2.py:309(add_handler)
      375    0.001    0.000    0.001    0.000 inputstream.py:356(unget)
        8    0.001    0.000    0.001    0.000 xl_builder.py:17(__init__)
        1    0.000    0.000    0.001    0.001 argparse.py:1677(parse_args)
       95    0.001    0.000    0.001    0.000 urlparse.py:159(urlsplit)
      132    0.001    0.000    0.001    0.000 __init__.py:81(<lambda>)
        1    0.000    0.000    0.001    0.001 argparse.py:1684(parse_known_args)
      132    0.001    0.000    0.001    0.000 {time.localtime}
      151    0.001    0.000    0.001    0.000 xl3.py:23(from_display)
        8    0.000    0.000    0.001    0.000 Worksheet.py:1257(__calc_settings_rec)
        1    0.000    0.000    0.001    0.001 _beautifulsoup.py:40(<module>)
      132    0.001    0.000    0.001    0.000 __init__.py:311(getMessage)
      358    0.001    0.000    0.001    0.000 antlr.py:520(__init__)
        8    0.000    0.000    0.001    0.000 cookielib.py:945(set_ok_verifiability)
        8    0.000    0.000    0.001    0.000 {_codecs.lookup}
        8    0.000    0.000    0.001    0.000 cookielib.py:1442(_cookie_from_cookie_tuple)
        1    0.000    0.000    0.001    0.001 decoder.py:17(_floatconstants)
       10    0.001    0.000    0.001    0.000 {method 'split' of 'unicode' objects}
      756    0.001    0.000    0.001    0.000 {unichr}
       12    0.000    0.000    0.001    0.000 ssl.py:272(close)
      444    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
       34    0.000    0.000    0.001    0.000 _base.py:112(nodesEqual)
        4    0.000    0.000    0.001    0.000 urllib.py:1135(splittag)
      628    0.001    0.000    0.001    0.000 sre_parse.py:134(__setitem__)
      124    0.001    0.000    0.001    0.000 Workbook.py:325(add_str)
       33    0.001    0.000    0.001    0.000 _form.py:623(do_input)
       24    0.000    0.000    0.001    0.000 cookielib.py:1217(__init__)
      181    0.001    0.000    0.001    0.000 Style.py:92(_add_style)
        4    0.000    0.000    0.001    0.000 html5parser.py:1030(startTagCloseP)
        6    0.000    0.000    0.001    0.000 models.py:519(__init__)
        6    0.000    0.000    0.001    0.000 tokenizer.py:285(rcdataState)
       23    0.000    0.000    0.001    0.000 _form.py:734(do_option)
      540    0.001    0.000    0.001    0.000 _form.py:1971(__setattr__)
        8    0.000    0.000    0.001    0.000 cookielib.py:690(is_third_party)
      717    0.001    0.000    0.001    0.000 {method 'islower' of 'unicode' objects}
      173    0.001    0.000    0.001    0.000 {_sre.compile}
      659    0.001    0.000    0.001    0.000 _form.py:91(debug)
        1    0.000    0.000    0.001    0.001 __init__.py:1594(debug)
        1    0.001    0.001    0.001    0.001 argparse.py:62(<module>)
        1    0.000    0.000    0.001    0.001 _opener.py:380(build_opener)
       14    0.000    0.000    0.001    0.000 cp1252.py:14(decode)
       12    0.001    0.000    0.001    0.000 httplib.py:668(__init__)
        1    0.000    0.000    0.001    0.001 _form.py:752(__init__)
        1    0.001    0.001    0.001    0.001 py.py:1(<module>)
      624    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
       59    0.001    0.000    0.001    0.000 httplib.py:913(putheader)
        6    0.000    0.000    0.001    0.000 urllib.py:1033(splittype)
        6    0.000    0.000    0.001    0.000 _strptime.py:221(__seqToRE)
        1    0.000    0.000    0.001    0.001 _form.py:369(__init__)
        8    0.000    0.000    0.001    0.000 Worksheet.py:1307(__protection_rec)
      487    0.001    0.000    0.001    0.000 threading.py:63(_note)
        4    0.000    0.000    0.001    0.000 _htmlparser.py:94(handle_decl)
       56    0.000    0.000    0.001    0.000 antlr.py:1624(member)
        1    0.000    0.000    0.001    0.001 _clientcookie.py:934(domain_return_ok)
        2    0.000    0.000    0.001    0.000 _form.py:2748(fixup)
        7    0.000    0.000    0.001    0.000 dammit.py:288(find_declared_encoding)
       23    0.000    0.000    0.001    0.000 _form.py:477(_start_option)
       98    0.001    0.000    0.001    0.000 rfc822.py:197(isheader)
        1    0.001    0.001    0.001    0.001 _form.py:159(get_entitydefs)
       14    0.001    0.000    0.001    0.000 {_codecs.charmap_decode}
       12    0.000    0.000    0.001    0.000 codecs.py:424(read)
      207    0.001    0.000    0.001    0.000 sre_compile.py:51(fixup)
        1    0.000    0.000    0.001    0.001 Workbook.py:598(__sst_rec)
       73    0.000    0.000    0.001    0.000 threading.py:271(notify)
        1    0.001    0.001    0.001    0.001 html5parser.py:410(getPhases)
        1    0.000    0.000    0.001    0.001 BIFFRecords.py:65(get_biff_record)
        4    0.000    0.000    0.001    0.000 MyRecord.py:79(get_name_combos)
        4    0.000    0.000    0.001    0.000 _urllib2_fork.py:195(get_type)
        1    0.000    0.000    0.001    0.001 argparse.py:1719(_parse_known_args)
        1    0.001    0.001    0.001    0.001 base64.py:3(<module>)
       38    0.000    0.000    0.001    0.000 threading.py:95(RLock)
       15    0.000    0.000    0.001    0.000 _rfc3986.py:67(urlsplit)
       18    0.000    0.000    0.001    0.000 cookies.py:33(__init__)
       12    0.000    0.000    0.001    0.000 httplib.py:803(putrequest)
        6    0.000    0.000    0.001    0.000 cookielib.py:1312(add_cookie_header)
      132    0.001    0.000    0.001    0.000 __init__.py:445(usesTime)
      332    0.001    0.000    0.001    0.000 {method 'acquire' of 'thread.lock' objects}
      431    0.001    0.000    0.001    0.000 {method 'seek' of 'cStringIO.StringO' objects}
        1    0.001    0.001    0.001    0.001 sessions.py:10(<module>)
      258    0.001    0.000    0.001    0.000 six.py:173(find_module)
       19    0.001    0.000    0.001    0.000 BIFFRecords.py:928(__init__)
        1    0.000    0.000    0.001    0.001 Workbook.py:544(__boundsheets_rec)
        4    0.001    0.000    0.001    0.000 {method 'sendall' of '_socket.socket' objects}
       36    0.000    0.000    0.001    0.000 _form.py:1900(add_to_form)
        1    0.000    0.000    0.001    0.001 _collections.py:7(<module>)
        1    0.000    0.000    0.001    0.001 argparse.py:1787(consume_optional)
        8    0.000    0.000    0.001    0.000 Workbook.py:340(add_sheet)
      466    0.001    0.000    0.001    0.000 ExcelFormulaLexer.py:85(curr_ch)
        2    0.000    0.000    0.001    0.000 html5parser.py:1288(startTagOther)
       16    0.000    0.000    0.001    0.000 cookielib.py:582(request_host)
       41    0.001    0.000    0.001    0.000 sre_parse.py:216(isname)
      243    0.001    0.000    0.001    0.000 {repr}
      181    0.001    0.000    0.001    0.000 {round}
       18    0.000    0.000    0.001    0.000 ordered_dict.py:29(__init__)
        1    0.000    0.000    0.001    0.001 opcode.py:5(<module>)
        1    0.001    0.001    0.001    0.001 ssl_.py:1(<module>)
      114    0.001    0.000    0.001    0.000 tokenizer.py:1469(doctypePublicIdentifierDoubleQuotedState)
       29    0.000    0.000    0.001    0.000 _form.py:1494(__init__)
       50    0.000    0.000    0.001    0.000 _strptime.py:236(<genexpr>)
        1    0.001    0.001    0.001    0.001 htmlentitydefs.py:1(<module>)
       23    0.000    0.000    0.001    0.000 _form.py:494(_end_option)
       19    0.000    0.000    0.001    0.000 BIFFRecords.py:90(_add_to_sst)
        4    0.000    0.000    0.001    0.000 _clientcookie.py:1393(_cookies_from_attrs_set)
       88    0.001    0.000    0.001    0.000 _weakrefset.py:77(add)
      301    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
        6    0.000    0.000    0.001    0.000 _form.py:2163(__init__)
      171    0.001    0.000    0.001    0.000 {time.time}
        4    0.000    0.000    0.001    0.000 _form.py:1472(__init__)
        1    0.001    0.001    0.001    0.001 message.py:90(Message)
        1    0.000    0.000    0.001    0.001 argparse.py:1986(_match_argument)
       69    0.001    0.000    0.001    0.000 {method 'getvalue' of 'cStringIO.StringO' objects}
       38    0.000    0.000    0.001    0.000 threading.py:100(__init__)
        6    0.001    0.000    0.001    0.000 socket.py:192(close)
       51    0.000    0.000    0.001    0.000 BeautifulSoup.py:1403(handle_entityref)
        1    0.001    0.001    0.001    0.001 saxutils.py:4(<module>)
      427    0.001    0.000    0.001    0.000 {_sre.getlower}
      152    0.001    0.000    0.001    0.000 __init__.py:1310(getEffectiveLevel)
      124    0.000    0.000    0.001    0.000 Cell.py:15(get_biff_data)
      180    0.001    0.000    0.001    0.000 Row.py:74(__adjust_bound_col_idx)
       36    0.000    0.000    0.001    0.000 cookielib.py:1180(deepvalues)
      192    0.001    0.000    0.001    0.000 _html5lib.py:98(__init__)
      137    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
        6    0.000    0.000    0.001    0.000 models.py:495(prepare_hooks)
       48    0.000    0.000    0.001    0.000 Workbook.py:388(add_sheet_reference)
       30    0.000    0.000    0.001    0.000 ordered_dict.py:143(update)
       12    0.000    0.000    0.001    0.000 _collections.py:151(__init__)
       71    0.000    0.000    0.001    0.000 _weakrefset.py:26(__exit__)
      264    0.001    0.000    0.001    0.000 __init__.py:594(filter)
        1    0.001    0.001    0.001    0.001 win32con.py:2(<module>)
      313    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
       46    0.000    0.000    0.001    0.000 re.py:206(escape)
        4    0.000    0.000    0.001    0.000 pprint.py:74(_sorted)
        1    0.000    0.000    0.001    0.001 _beautifulsoup.py:564(BeautifulStoneSoup)
       98    0.000    0.000    0.001    0.000 httplib.py:217(addheader)
      137    0.001    0.000    0.001    0.000 {method 'read' of 'cStringIO.StringO' objects}
      128    0.000    0.000    0.001    0.000 Column.py:22(set_width)
      309    0.001    0.000    0.001    0.000 {cStringIO.StringIO}
       48    0.000    0.000    0.001    0.000 antlr.py:1784(__init__)
        6    0.000    0.000    0.001    0.000 models.py:158(register_hook)
        6    0.000    0.000    0.001    0.000 _lxml.py:72(prepare_markup)
      277    0.001    0.000    0.001    0.000 {method 'copy' of 'dict' objects}
        6    0.000    0.000    0.001    0.000 urllib.py:1482(proxy_bypass_registry)
        1    0.001    0.001    0.001    0.001 exceptions.py:10(<module>)
       64    0.001    0.000    0.001    0.000 _html5lib.py:106(items)
       72    0.000    0.000    0.001    0.000 rfc822.py:285(getheader)
       32    0.000    0.000    0.001    0.000 _form.py:2684(__setattr__)
      323    0.001    0.000    0.001    0.000 _form.py:1214(__setattr__)
        1    0.001    0.001    0.001    0.001 tax.py:1(<module>)
        1    0.001    0.001    0.001    0.001 text.py:5(<module>)
       12    0.000    0.000    0.001    0.000 url.py:72(parse_url)
       44    0.000    0.000    0.001    0.000 _collections.py:157(add)
      114    0.000    0.000    0.001    0.000 structures.py:71(__setitem__)
        4    0.000    0.000    0.001    0.000 _clientcookie.py:1311(_cookie_from_cookie_tuple)
       56    0.000    0.000    0.001    0.000 antlr.py:1673(at)
      325    0.001    0.000    0.001    0.000 _sgmllib_copy.py:462(unknown_endtag)
        1    0.000    0.000    0.001    0.001 html5parser.py:862(__init__)
       36    0.000    0.000    0.001    0.000 UnicodeUtils.py:45(upack2)
        1    0.000    0.000    0.001    0.001 poolmanager.py:7(<module>)
       34    0.000    0.000    0.001    0.000 element.py:232(extract)
       25    0.000    0.000    0.001    0.000 __init__.py:210(_acquireLock)
        6    0.000    0.000    0.001    0.000 Queue.py:26(__init__)
       10    0.000    0.000    0.001    0.000 __init__.py:216(reset)
       12    0.000    0.000    0.001    0.000 mimetools.py:33(parsetype)
       12    0.000    0.000    0.001    0.000 httplib.py:330(__init__)
        5    0.000    0.000    0.001    0.000 _clientcookie.py:183(request_path)
       30    0.001    0.000    0.001    0.000 {dir}
      124    0.000    0.000    0.001    0.000 BIFFRecords.py:22(add_str)
      402    0.001    0.000    0.001    0.000 _sgmllib_copy.py:461(unknown_starttag)
       10    0.000    0.000    0.001    0.000 _abcoll.py:368(items)
        1    0.001    0.001    0.001    0.001 ascii.py:8(<module>)
       12    0.000    0.000    0.001    0.000 cookies.py:435(merge_cookies)
      235    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
        4    0.000    0.000    0.001    0.000 _clientcookie.py:969(vals_sorted_by_key)
      309    0.001    0.000    0.001    0.000 antlr.py:1712(consume)
        1    0.000    0.000    0.001    0.001 _form.py:3203(_pairs)
        1    0.000    0.000    0.001    0.001 Style.py:697(easyxf)
      314    0.001    0.000    0.001    0.000 {method 'intersection' of 'set' objects}
      100    0.000    0.000    0.001    0.000 structures.py:76(__getitem__)
       71    0.000    0.000    0.001    0.000 _weakrefset.py:20(__enter__)
      237    0.001    0.000    0.001    0.000 {method 'rfind' of 'unicode' objects}
       36    0.000    0.000    0.001    0.000 cookielib.py:1175(vals_sorted_by_key)
        1    0.000    0.000    0.001    0.001 _form.py:3208(_pairs_and_controls)
        4    0.000    0.000    0.001    0.000 _clientcookie.py:687(set_ok)
        6    0.000    0.000    0.001    0.000 utils.py:300(get_encoding_from_headers)
       10    0.000    0.000    0.001    0.000 _opener.py:59(add_handler)
       14    0.001    0.000    0.001    0.000 {_winreg.OpenKey}
        1    0.000    0.000    0.001    0.001 _strptime.py:96(__calc_month)
      145    0.001    0.000    0.001    0.000 {sys._getframe}
      379    0.001    0.000    0.001    0.000 {method 'isalnum' of 'str' objects}
      283    0.001    0.000    0.001    0.000 {method 'tell' of 'cStringIO.StringO' objects}
        1    0.000    0.000    0.000    0.000 case.py:129(TestCase)
        1    0.000    0.000    0.000    0.000 sales.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _clientcookie.py:960(path_return_ok)
        1    0.000    0.000    0.000    0.000 Style.py:188(_all_fonts)
      132    0.000    0.000    0.000    0.000 {method 'flush' of 'file' objects}
      204    0.000    0.000    0.000    0.000 xl3.py:17(__init__)
        1    0.000    0.000    0.000    0.000 BeautifulSoup.py:1842(_toUnicode)
        8    0.000    0.000    0.000    0.000 cookielib.py:598(eff_request_host)
       18    0.000    0.000    0.000    0.000 markupbase.py:373(_scan_name)
        8    0.000    0.000    0.000    0.000 urllib.py:1427(getproxies_registry)
      174    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
      259    0.000    0.000    0.000    0.000 {method 'release' of 'thread.lock' objects}
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
       38    0.000    0.000    0.000    0.000 inputstream.py:606(skip)
       20    0.000    0.000    0.000    0.000 threading.py:175(Condition)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
       54    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
      173    0.000    0.000    0.000    0.000 ntpath.py:122(splitdrive)
        8    0.000    0.000    0.000    0.000 cookielib.py:966(set_ok_path)
        1    0.000    0.000    0.000    0.000 Style.py:60(__init__)
      227    0.000    0.000    0.000    0.000 xl3.py:35(get_link)
        4    0.000    0.000    0.000    0.000 urllib2.py:1084(do_request_)
        8    0.000    0.000    0.000    0.000 __init__.py:38(lookup)
        6    0.000    0.000    0.000    0.000 idna.py:147(encode)
